function,name,version,optimum,min,max,mean,median,std
F1,Bent Cigar,ICA r=0.3,0,1.123757E-25,0.000001426063,0.00000004756347,1.794968E-19,0.000000255981
F1,Bent Cigar,ICA r=0.5,0,1.647761E-25,8365.96,278.8653,3.267349E-19,1501.736
F1,Bent Cigar,NAM-ICA r=0.3,0,6.276944E-30,9784.574,924.9561,3.174797E-20,2778.211
F1,Bent Cigar,NAM-ICA r=0.5,0,3.679354E-30,9783.541,326.118,7.596235E-19,1756.199
F3,High Conditioned Elliptic,ICA r=0.3,0,0.00001742025,271859.4,69085.17,56415.89,88724.36
F3,High Conditioned Elliptic,ICA r=0.5,0,0.001298382,271859.4,77938.3,56415.89,92371.19
F3,High Conditioned Elliptic,NAM-ICA r=0.3,0,1.095362E-20,271859.4,81485.72,56415.89,89663.63
F3,High Conditioned Elliptic,NAM-ICA r=0.5,0,2.293795E-19,271859.4,76720.97,46415.89,93446.86
F5,Rosenbrock,ICA r=0.3,0,0.0000113712,3.28928,0.3580872,0.06683895,0.8066552
F5,Rosenbrock,ICA r=0.5,0,0.0009012163,2.535741,0.3708715,0.1383209,0.5578615
F5,Rosenbrock,NAM-ICA r=0.3,0,0.000004119449,1.25014,0.2135283,0.1291191,0.3090317
F5,Rosenbrock,NAM-ICA r=0.5,0,0.001787125,1.952373,0.3251407,0.1518043,0.4846767
F2,Rastrigin,ICA r=0.3,0,0,2.785328E-12,1.117921E-13,0,5.02292E-13
F2,Rastrigin,ICA r=0.5,0,0,1.596447E-10,6.076088E-12,0,2.866318E-11
F2,Rastrigin,NAM-ICA r=0.3,0,0,2.359002E-12,1.620037E-13,0,5.728767E-13
F2,Rastrigin,NAM-ICA r=0.5,0,0,8.063239E-11,3.016491E-12,0,1.444633E-11
F4,HGBat,ICA r=0.3,0,0.000008004415,12.64273,1.514235,0.1432484,3.030733
F4,HGBat,ICA r=0.5,0,0.000000001481231,108.6935,7.73923,1.252096,21.99738
F4,HGBat,NAM-ICA r=0.3,0,4.455275E-10,61.62473,4.459026,0.2562518,13.26846
F4,HGBat,NAM-ICA r=0.5,0,0.00000002626486,157.5608,6.407407,0.01614001,28.23822
F6,Griewank,ICA r=0.3,0,0.1365599,1.022159,0.6285836,0.6551415,0.2571413
F6,Griewank,ICA r=0.5,0,0.1000354,1.041533,0.5857833,0.5518805,0.2774704
F6,Griewank,NAM-ICA r=0.3,0,0.1031426,1.143249,0.6368867,0.6648811,0.265568
F6,Griewank,NAM-ICA r=0.5,0,0.1000107,1.029785,0.6005831,0.6094305,0.2968365
F7,Ackley,ICA r=0.3,0,0.08472492,2.807704,1.173669,1.23133,0.7643892
F7,Ackley,ICA r=0.5,0,0.01096165,2.872809,1.017004,0.9028258,0.8081733
F7,Ackley,NAM-ICA r=0.3,0,0.009223112,2.269143,0.7506487,0.4243871,0.6923082
F7,Ackley,NAM-ICA r=0.5,0,0.04047659,2.934343,1.061305,0.9818297,0.783912
